Data from 12-12-AQDScycling_Absorbance__105__00105.txt Node

Date: Tue Dec 12 11:22:59 EST 2023
User: kyuminlee
Spectrometer: FLMS00943
Trigger mode: 0
Integration Time (sec): 1.000000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
179.651	-0.2
180.037	-0.2
180.424	-0.2
180.81	0.37
181.197	0.53
181.583	-0
181.97	0.59
182.356	-0
182.743	-0
183.129	0.22
183.515	0.33
183.901	-2.57
184.288	0.38
184.674	-0
185.06	-1.22
185.446	-0
185.832	-0
186.218	0.54
186.604	-0
186.99	0.09
187.376	-0
187.762	-0
188.148	0.21
188.534	0.44
188.92	0.06
189.305	0.09
189.691	0.11
190.077	0.17
190.463	-0.02
190.848	0.11
191.234	0.18
191.619	0.13
192.005	0.3
192.391	0.11
192.776	0.22
193.161	0.29
193.547	0.1
193.932	0.07
194.318	0.09
194.703	0.26
195.088	0.15
195.473	0.16
195.859	0.25
196.244	0.19
196.629	0.09
197.014	0.24
197.399	0.14
197.784	0.22
198.169	0.19
198.554	0.21
198.939	0.09
199.324	0.1
199.709	0.12
200.094	0.11
200.478	0.15
200.863	0.19
201.248	0.05
201.633	0.13
202.017	0.06
202.402	0.27
202.787	0.06
203.171	0.21
203.556	0.2
203.94	0.16
204.325	0.26
204.709	0.26
205.093	0.12
205.478	0.15
205.862	0.1
206.246	0.3
206.631	0.06
207.015	0.19
207.399	0.15
207.783	0.33
208.167	0.17
208.551	0.37
208.935	0.17
209.319	0.2
209.703	0.15
210.087	0.18
210.471	0.12
210.855	0.06
211.239	0.22
211.623	0.31
212.007	0.16
212.39	0.45
212.774	0.23
213.158	0.1
213.541	0.19
213.925	0.17
214.309	0.25
214.692	0.31
215.076	0.26
215.459	0.19
215.842	0.2
216.226	0.25
216.609	0.27
216.993	0.23
217.376	0.34
217.759	0.16
218.142	0.34
218.525	0.66
218.909	0.41
219.292	0.33
219.675	0.51
220.058	0.47
220.441	0.43
220.824	0.48
221.207	0.68
221.59	0.48
221.973	0.54
222.355	0.53
222.738	0.83
223.121	0.57
223.504	0.64
223.886	0.83
224.269	0.63
224.652	0.6
225.034	0.82
225.417	0.89
225.799	0.72
226.182	1.12
226.564	0.98
226.947	0.81
227.329	0.73
227.711	1.02
228.094	1
228.476	0.89
228.858	0.87
229.24	0.84
229.623	0.92
230.005	0.79
230.387	0.86
230.769	0.77
231.151	0.87
